,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
0,1,2009.0,5.0,-1.0,Video distribution,Market Research|Marketing|Crowdfunding,operation,KPCB Holdings|Draper Fisher Jurvetson (DFJ)|Kleiner Perkins Caufield & Byers|AT&T|Blueprint Ventures|Cisco|Zone Ventures,3.0,0.0,0.0,12/1/2011,5/26/2013,450000.0,United States,North America,2.0,0.0,1,2,2,15.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Service,0.0,Private,0.0,Both,1.0,Platform,Global,Linear,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Online,B2C,3.0,3.0,1.0,1.0,Masters,21.0,business,1.0,1.0,Tier_1,500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1,0.0,No,No,Medium,9626884.0,0.0,1.0,0.0,2.0,1.0,0.0,1.5,0.45,Not Applicable,15.0,11.56,Trough,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2011.0,3.0,125.0,Video distribution,Market Research|Marketing|Crowdfunding,"Marketing, sales",KPCB Holdings|Draper Fisher Jurvetson (DFJ)|Kleiner Perkins Caufield & Byers|AT&T|Blueprint Ventures|Cisco|Zone Ventures,31.0,-1.0,0.0,12/1/2011,5/26/2013,6379489.0,United States,North America,5.0,0.0,2,0,4,20.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,Product,0.0,Public,1.0,Both,0.0,Platform,Local,Non-Linear,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,Online,B2C,1.0,3.0,1.0,3.0,Masters,21.0, Supply Chain Management & Entrepreneurship,1.0,1.0,Tier_1,500.0,3.0,0.0,0.0,0.0,2.0,13.0,0.0,34.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0.0,No,Yes,Medium,1067034.0,1.0,1.0,0.0,3.0,2.0,0.0,6.666666667,5.0,Not Applicable,10.0,9.0,Trough,2 to 5,15.88235294,11.76470588,15.0,12.94117647,0.0,8.823529412000001,21.76470588,10.88235294,2.9411764710000003,0.0,0.0,0.0,0.0,0.0,8.0
2,1,2011.0,3.0,455.0,Event Data Analytics API,Analytics|Cloud Computing|Software Development,operations,TechStars|Streamlined Ventures|Amplify Partners|Rincon Venture Partners|Pelion Venture Partners|500 Startups|Loren Siebert|Jason Seats|XG Ventures|George Karidis|Sam Choi|Morris Wheeler|Data Collective|Pejman Nozad|Ullas Naik|Dirk Elmendorf|Galvanize|Pat Matthews|Paul Kedrosky|Matt Ocko|Cloud Power Capital|Jared Kopf|Anne Johnson|Issac Roth|George Karutz|Jim Deters|Zachary Aarons|Zack Bogue,14.0,0.0,0.0,12/1/2011,10/23/2013,2350000.0,United States,North America,15.0,0.0,3,0,7,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Both,1.0,Private,1.0,Both,1.0,cloud,Local,Non-Linear,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Online,B2B,1.0,2.0,1.0,1.0,Bachelors,18.0,General,1.0,1.0,Tier_2,500.0,3.0,0.0,0.0,1.0,2.0,18.0,0.0,36.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0.0,No,No,Low,71391.0,1.0,1.0,1.0,3.0,2.0,0.0,3.333333333,2.35,Not Applicable,2.0,7.344444444,Trough,2 to 5,9.401709402,0.0,57.47863248,0.0,0.0,3.8461538460000004,17.09401709,9.401709402,0.0,2.777777778,0.0,0.0,0.0,0.0,9.0
3,1,2009.0,5.0,-99.0,The most advanced analytics for mobile,Mobile|Analytics,Marketing & Sales,Michael Birch|Max Levchin|Sequoia Capital|Keith Rabois|Andreessen Horowitz|Marc Benioff|David Sacks|Y Combinator|Voyager Capital,45.0,10.0,0.0,6/20/2009,5/10/2012,10250000.0,United States,North America,6.0,0.0,2,0,4,50.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,Product,1.0,Public,1.0,Structured,1.0,Platform,Local,Non-Linear,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Online,B2C,2.0,2.0,1.0,1.0,Bachelors,18.0,Computer Systems Engineering,1.0,1.0,Tier_2,469.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,15.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0.0,No,No,Low,11847.0,0.0,1.0,1.0,4.0,2.0,2.0,10.0,10.25,Not Applicable,1.0,8.7,Trough,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
4,1,2010.0,4.0,496.0,The Location-Based Marketing Platform,Analytics|Marketing|Enterprise Software,Marketing & Sales,DFJ Frontier|Draper Nexus Ventures|Gil Elbaz|Auren Hoffman|Walter Kortschak|MI Ventures|Brand Ventures|Daher Capital|Double M Partners|Gold Hill Capital|Clark Landry|Draper Associates|MI Ventures LLC|Signia Venture Partners,39.0,3.0,0.0,4/1/2010,12/11/2013,5500000.0,United States,North America,7.0,0.0,1,1,8,40.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Product,1.0,Public,1.0,Both,0.0,Platform,Local,Non-Linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Online,B2B,1.0,3.0,1.0,2.0,Bachelors,18.0, Industrial Engineering and Computer Science,1.0,1.0,None,500.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,23.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0.0,No,No,Low,201814.0,1.0,1.0,0.0,3.0,2.0,0.0,10.0,5.5,Not Applicable,13.0,9.822222222,Trough,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
5,1,2010.0,4.0,106.0,big data for foodservice,Food & Beverages|Hospitality,analytics,Pritzker Group Venture Capital|Excelerate Labs|Hyde Park Venture Partners|Chicago Ventures|Amicus Capital|IDEO|Olive Ventures|KD Capital L.L.C,14.0,8.0,0.0,5/1/2010,9/17/2013,1000000.0,United States,North America,2.0,0.0,4,0,4,14.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Service,0.0,Public,1.0,Both,0.0,Platform,Local,Non-Linear,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Online,B2B,1.0,3.0,1.0,2.0,Masters,21.0,Political Science,0.0,0.0,None,500.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,25.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1.0,No,No,High,591816.0,1.0,1.0,1.0,4.0,3.0,0.0,3.5,1.0,Not Applicable,12.0,9.322222222,Trigger,2 to 5,6.25,0.0,3.125,15.625,9.375,3.125,6.25,3.125,3.125,0.0,0.0,0.0,0.0,0.0,6.0
6,1,2011.0,3.0,39.0,big data for foodservice,Analytics,Research,Plug & Play Ventures|Correlation Ventures|Crosslink Capital|Roham Gharegozlou|Start Capital|Naguib Sawiris|Pejman Nozad|Streamlined Ventures,7.0,0.0,0.0,1/1/2011,9/3/2013,2000000.0,United States,North America,7.0,0.0,2,9,2,15.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,Both,1.0,Public,1.0,Unstructured,1.0,Platform,Local,Non-Linear,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Online,B2B,1.0,3.0,1.0,2.0,PhD,25.0,Electrical Eng,1.0,1.0,None,469.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1,0.0,No,Yes,Low,2345574.0,1.0,1.0,0.0,3.0,2.0,0.0,5.0,2.0,Not Applicable,11.0,7.311111111000001,Trigger,2 to 5,0.0,0.0,66.66666667,5.555555556,0.0,22.22222222,0.0,0.0,0.0,5.555555556,0.0,0.0,0.0,0.0,0.0
7,1,2010.0,4.0,139.0,big data for foodservice,Cloud Computing|Network / Hosting / Infrastructure,Computing,Norwest Venture Partners|Bessemer Venture Partners|Atlas Venture,29.0,-12.0,0.0,1/1/2010,11/8/2012,6700000.0,United States,North America,0.0,0.0,3,4,4,40.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,Both,1.0,Private,0.0,Both,0.0,Platform,Local,Non-Linear,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Online,B2B,2.0,3.0,1.0,2.0,Masters,21.0,Business management,1.0,1.0,Tier_1,500.0,2.0,0.0,0.0,0.0,3.0,5.0,1.0,4.5,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.0,No,No,Low,1015027.0,1.0,1.0,0.0,3.0,2.0,0.0,10.0,6.7,Not Applicable,20.0,6.4,Slope,2 to 5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8,1,2011.0,3.0,306.0,Engagement Engine,Analytics|Mobile|Marketing,Marketing,Promus Ventures|SoftTech VC|Costanoa Venture Capital|Lee Linden|Chamath Palihapitiya|Raj De Datta|Tim Kendall|Omar Siddiqui|David Vivero|Sequoia Capital,16.0,45.0,0.0,1/1/2011,2/26/2014,11000000.0,United States,North America,13.0,0.0,2,0,2,50.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,Product,1.0,Public,1.0,Both,0.0,Platform,Local,Non-Linear,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Online,B2B,2.0,3.0,1.0,3.0,Masters,21.0,Business management,1.0,1.0,Tier_1,500.0,3.0,0.0,0.0,0.0,2.0,13.0,0.0,48.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0,No,No,Low,256921.0,1.0,1.0,0.0,3.0,2.0,0.0,16.66666667,11.0,Not Applicable,18.0,12.0,Trough,2 to 5,8.333333332999999,0.0,46.73202614,5.718954247999999,8.333333332999999,0.0,19.77124183,2.777777778,2.777777778,0.0,0.0,0.0,0.0,5.555555556,5.0
9,1,2013.0,1.0,53.0,Big data for clinical insight,Healthcare|Pharmaceuticals|Analytics,Research,Khosla Ventures,3.0,-1.0,0.0,5/16/2013,10/24/2013,3000000.0,United States,North America,0.0,0.0,3,4,3,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Product,0.0,Public,1.0,Structured,0.0,Platform,Global,Non-Linear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Online,B2B,1.0,3.0,1.0,3.0,PhD,25.0,Biomedical Informatics ,1.0,1.0,Tier_1,500.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,25.5,2.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,1,0.0,No,Yes,Low,3639779.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,Not Applicable,5.0,5.0,Peak,5 to 10,8.333333332999999,0.0,27.08333333,19.79166667,0.0,23.95833333,0.0,0.0,0.0,20.83333333,0.0,0.0,0.0,0.0,4.0
